이름,본인과의관계,재산구분,재산의 종류,소재지 면적 등 권리의 명세,현재가액,건물주소,건물면적,Latitude,Longitude
김철민,본인,건물,근린생활시설,경기도 안산시 상록구 본오동 상림프라자 대지 849.60㎡중 8.98㎡ 건물 50.85㎡ 중 25.43㎡,65788.0,경기도 안산시 상록구 본오동,상림프라자 대지 849.60㎡중 8.98㎡ 건물 50.85㎡ 중 25.43㎡,37.2891939602882,126.864590815243
김학용,장남,건물,근린생활시설,경기도 안성시 공도읍 승두리 대지 99.80㎡ 건물 148.90㎡,133005.0,경기도 안성시 공도읍 승두리,대지 99.80㎡ 건물 148.90㎡,36.987172511864,127.161605532582
최강욱,본인,건물,근린생활시설,"경기도 용인시 처인구 양지면 평창리 발트하우스 대지 1,283.00㎡ 중 23.30㎡ 건물 509.20㎡ 중 6.62㎡",14348.0,경기도 용인시 처인구 양지면 평창리,"발트하우스 대지 1,283.00㎡ 중 23.30㎡ 건물 509.20㎡ 중 6.62㎡",37.226227465961,127.326589849902
최강욱,본인,건물,근린생활시설,경기도 용인시 처인구 양지면 평창리 발트하우스 대지479.00㎡ 중 8.40㎡ 건물 68.14㎡ 중 0.92㎡,4429.0,경기도 용인시 처인구 양지면 평창리,발트하우스 대지479.00㎡ 중 8.40㎡ 건물 68.14㎡ 중 0.92㎡,37.226227465961,127.326589849902
조기열,배우자,건물,근린생활시설,경기도 의왕시 내손동 의왕상록아파트 건물 86.14㎡ (건물86.14㎡ 증가),370000.0,경기도 의왕시 내손동,의왕상록아파트 건물 86.14㎡ (건물86.14㎡ 증가),37.3782619969627,126.975693472476
최춘식,본인,건물,근린생활시설,경기도 포천시 관인면 탄동리 대지 450.00㎡ 건물 89.60㎡,87368.0,경기도 포천시 관인면 탄동,리 대지 450.00㎡ 건물 89.60㎡,38.1646778462393,127.264586049915
김도읍,본인,건물,근린생활시설,"부산광역시 강서구 강동동 대지 1,514.00㎡ 건물 538.00㎡",2396745.0,부산광역시 강서구 강동동,"대지 1,514.00㎡ 건물 538.00㎡",35.2145168459059,128.935271405931
김도읍,본인,건물,근린생활시설,부산광역시 강서구 강동동 대지 557.00㎡ 건물 284.43㎡,1186727.0,부산광역시 강서구 강동동,대지 557.00㎡ 건물 284.43㎡,35.2145168459059,128.935271405931
백종헌,본인,건물,근린생활시설,"부산광역시 금정구 서동 대지 1,039.70㎡ 건물 1,104.70㎡",3982785.0,부산광역시 금정구 서동,"대지 1,039.70㎡ 건물 1,104.70㎡",35.2184737614791,129.103607522202
서병수,본인,건물,근린생활시설,부산광역시 기장군 일광면 원리 건물 0.00㎡ (건물 0.00㎡감소),0.0,부산광역시 기장군 일광면 원리,건물 0.00㎡ (건물 0.00㎡감소),35.3077816557148,129.229426685224
서병수,본인,건물,근린생활시설,부산광역시 기장군 일광읍 원리 대지 771.00㎡ 건물90.35㎡,411554.0,부산광역시 기장군 일광읍 원리,대지 771.00㎡ 건물90.35㎡,35.3077816557148,129.229426685224
정점식,배우자,건물,근린생활시설,"부산광역시 수영구 수영동 영화빌딩 대지 816.20㎡ 건물3,842.74㎡",4441981.0,부산광역시 수영구 수영동,"영화빌딩 대지 816.20㎡ 건물3,842.74㎡",35.1705527261101,129.116107846731
노우진,본인,건물,근린생활시설,부산광역시 중구 영주동 대지 40.00㎡ 건물 24.13㎡,75400.0,부산광역시 중구 영주동,대지 40.00㎡ 건물 24.13㎡,35.1118639237961,129.03199111519
김미애,본인,건물,근린생활시설,부산광역시 해운대구 재송동 대지 253.70㎡ 건물 735.47㎡,1074534.0,부산광역시 해운대구 재송동,대지 253.70㎡ 건물 735.47㎡,35.1855603344596,129.127939014337
안병길,본인,건물,근린생활시설,"부산광역시 해운대구광역시 중동 대지 600.00㎡ 건물1,436.64㎡",3800000.0,부산광역시 해운대구광역시 중동,"대지 600.00㎡ 건물1,436.64㎡",,
최종윤,본인,건물,근린생활시설,서울특별시 강동구 명일동 대지 62.75㎡ 건물 57.12㎡,283065.0,서울특별시 강동구 명일동,대지 62.75㎡ 건물 57.12㎡,37.5494403330957,127.150304746486
최종윤,장남,건물,근린생활시설,서울특별시 강동구 명일동 대지 62.75㎡ 중 1.56㎡ 건물57.12㎡ 중 5.70㎡,48000.0,서울특별시 강동구 명일동,대지 62.75㎡ 중 1.56㎡ 건물57.12㎡ 중 5.70㎡,37.5494403330957,127.150304746486
최종윤,배우자,건물,근린생활시설,서울특별시 강동구 명일동 대지 62.75㎡ 중 6.27㎡ 건물57.12㎡ 중 22.85㎡,192000.0,서울특별시 강동구 명일동,대지 62.75㎡ 중 6.27㎡ 건물57.12㎡ 중 22.85㎡,37.5494403330957,127.150304746486
최종윤,본인,건물,근린생활시설,서울특별시 강동구 명일동 대지 62.75㎡ 중 7.84㎡ 건물57.12㎡ 중 28.55㎡,240000.0,서울특별시 강동구 명일동,대지 62.75㎡ 중 7.84㎡ 건물57.12㎡ 중 28.55㎡,37.5494403330957,127.150304746486
이용선,본인,건물,근린생활시설,서울특별시 강동구 성내동 대지 24.87㎡ 건물 58.40㎡,344466.0,서울특별시 강동구 성내동,대지 24.87㎡ 건물 58.40㎡,37.5292748071427,127.130026914568
송병철,배우자,건물,근린생활시설,"서울특별시 동작구 상도동 건물 4,295.96㎡ 중 390.54㎡(건물 지분면적130.18㎡ 증가)",164394.0,서울특별시 동작구 상도동,"건물 4,295.96㎡ 중 390.54㎡(건물 지분면적130.18㎡ 증가)",37.4985163075707,126.939014238644
송병철,배우자,건물,근린생활시설,서울특별시 동작구 상도동 건물 59.31㎡ 중 5.39㎡ (건물지분면적1.80㎡ 증가),458.0,서울특별시 동작구 상도동,건물 59.31㎡ 중 5.39㎡ (건물지분면적1.80㎡ 증가),37.4985163075707,126.939014238644
김홍걸,본인,건물,근린생활시설,서울특별시 마포구 동교동 건물 129.61㎡ (건물 129.61㎡증가),77118.0,서울특별시 마포구 동교동,건물 129.61㎡ (건물 129.61㎡증가),37.557208530833,126.922261659865
김홍걸,본인,건물,근린생활시설,"서울특별시 마포구 동교동 대지 573.60㎡ 건물 656.22㎡(대지 573.60㎡ 증가, 건물 656.22㎡ 증가)",5506036.0,서울특별시 마포구 동교동,"대지 573.60㎡ 건물 656.22㎡(대지 573.60㎡ 증가, 건물 656.22㎡ 증가)",37.557208530833,126.922261659865
한무경,본인,건물,근린생활시설,"서울특별시 서초구 반포동 서흥빌딩 대지 0.00㎡ 건물 0.00㎡ (대지 413.90㎡ 감소, 건물 1,476.16㎡ 감소)",0.0,서울특별시 서초구 반포동,"서흥빌딩 대지 0.00㎡ 건물 0.00㎡ (대지 413.90㎡ 감소, 건물 1,476.16㎡ 감소)",37.5051446767402,127.013359062646
박정,배우자,건물,근린생활시설,서울특별시 송파구 석촌동 대지 339.80㎡ 중 135.92㎡ 건물928.76㎡ 중 371.50㎡,2220000.0,서울특별시 송파구 석촌동,대지 339.80㎡ 중 135.92㎡ 건물928.76㎡ 중 371.50㎡,37.5035646306704,127.103667384036
조의섭,본인,건물,근린생활시설,"서울특별시 영등포구 여의도동 대지 962.00㎡ 중 14.84㎡ 건물 1,663.00㎡ 중 59.90㎡",409311.0,서울특별시 영등포구 여의도동,"대지 962.00㎡ 중 14.84㎡ 건물 1,663.00㎡ 중 59.90㎡",37.5267849150832,126.930167091136
노우진,배우자,건물,근린생활시설,"서울특별시 용산구 산천동 삼성테마트 대지 13.87㎡ 건물3,460.00㎡",132000.0,서울특별시 용산구 산천동,"삼성테마트 대지 13.87㎡ 건물3,460.00㎡",37.535416505796,126.951801048783
조은희,배우자,건물,근린생활시설,서울특별시 용산구 원효로3가 대지 180.20㎡ 건물360.24㎡,2519199.0,서울특별시 용산구 원효로3가,대지 180.20㎡ 건물360.24㎡,37.53430510598,126.957635334291
이광재,배우자,건물,근린생활시설,서울특별시 은평구 불광동 대지 304.00㎡ 중 91.20㎡ 건물755.68㎡ 중 226.70㎡,831000.0,서울특별시 은평구 불광동,대지 304.00㎡ 중 91.20㎡ 건물755.68㎡ 중 226.70㎡,37.6176523268171,126.937059476367
유기홍,배우자,건물,근린생활시설,인천광역시 강화군 화도면 여차리 대지 494.00㎡ 건물36.00㎡,167000.0,인천광역시 강화군 화도면 여차리,대지 494.00㎡ 건물36.00㎡,37.6048448083792,126.399864622682
이학영,본인,건물,근린생활시설,"전라남도 구례군 토지면 내서리 대지 367.00㎡ 건물 107.08㎡ (대지 367.00㎡ 증가, 건물 107.08㎡ 증가)",105360.0,전라남도 구례군 토지면 내서리,"대지 367.00㎡ 건물 107.08㎡ (대지 367.00㎡ 증가, 건물 107.08㎡ 증가)",35.2587824709309,127.567088036366
소병훈,본인,건물,근린생활시설,"전라북도 군산시 조촌동 대지 1,505.70㎡ 중 167.30㎡ 건물236.00㎡ 중 33.70㎡",101153.0,전라북도 군산시 조촌동,"대지 1,505.70㎡ 중 167.30㎡ 건물236.00㎡ 중 33.70㎡",35.9730640100683,126.738019320783
소병훈,장녀,건물,근린생활시설,"전라북도 군산시 조촌동 대지 1,505.70㎡ 중 167.30㎡ 건물236.00㎡ 중 33.70㎡",101153.0,전라북도 군산시 조촌동,"대지 1,505.70㎡ 중 167.30㎡ 건물236.00㎡ 중 33.70㎡",35.9730640100683,126.738019320783
소병훈,차녀,건물,근린생활시설,"전라북도 군산시 조촌동 대지 1,505.70㎡ 중 167.30㎡ 건물236.00㎡ 중 33.70㎡",101153.0,전라북도 군산시 조촌동,"대지 1,505.70㎡ 중 167.30㎡ 건물236.00㎡ 중 33.70㎡",35.9730640100683,126.738019320783
문진석,본인,건물,근린생활시설,"충청남도 아산시 배방읍 장재리 빅토리아빌 대지 12.53㎡ 건물 72.00㎡ (대지 12.53㎡ 증가, 건물 72.00㎡ 증가)",192010.0,충청남도 아산시 배방읍 장재리 빅토리,"아빌 대지 12.53㎡ 건물 72.00㎡ (대지 12.53㎡ 증가, 건물 72.00㎡ 증가)",,
문진석,본인,건물,근린생활시설,충청남도 아산시 배방읍 장재리 빅토리아빌 대지 15.31㎡건물 88.00㎡,234680.0,충청남도 아산시 배방읍 장재리 빅토리,아빌 대지 15.31㎡건물 88.00㎡,,
임호선,배우자,건물,근린생활시설,충청북도 증평군 증평읍 창동리 대지 163.00㎡ 건물371.43㎡,350000.0,충청북도 증평군 증평읍 창동,리 대지 163.00㎡ 건물371.43㎡,36.7847932499909,127.578577740163
권은희,배우자,건물,근린생활시설,충청북도 청주시 서원구 산남동 두꺼비빌딩 대지 22.24㎡건물 106.76㎡,185720.0,충청북도 청주시 서원구 산남동,두꺼비빌딩 대지 22.24㎡건물 106.76㎡,36.6132892221879,127.466882101284
강기윤,배우자,건물,아파트(전세(임차)권),서울특별시 종로구 명륜2가 아남아파트 건물 124.03㎡,588000.0,서울특별시 종로구 명륜2가,아남아파트 건물 124.03㎡,37.584696454401,126.999030857136
강대식,본인,건물,다세대주택(전세(임차)권),대구광역시 동구 신서동 아가페 건물 19.83㎡,2000.0,대구광역시 동구 신서동,아가페 건물 19.83㎡,35.8729369783141,128.727195348274
강대식,본인,건물,사무실(전세(임차)권),대구광역시 동구 용계동 테바빌딩 건물 247.56㎡,30000.0,대구광역시 동구 용계동,테바빌딩 건물 247.56㎡,35.8762436666167,128.68934295574
강대식,본인,건물,오피스텔(전세(임차)권),"서울특별시 강서구 가양동 가양글로벌퍼스트 대지 28.12㎡건물 2,630.30㎡",10000.0,서울특별시 강서구 가양동,"가양글로벌퍼스트 대지 28.12㎡건물 2,630.30㎡",37.5693673262879,126.84732341674
강득구,장녀,건물,다세대주택(전세(임차)권),서울특별시 성동구 마장동 삼성홈타운 건물 18.06㎡,30000.0,서울특별시 성동구 마장동,삼성홈타운 건물 18.06㎡,37.5663795479871,127.045325760782
강득구,본인,건물,사무실(전세(임차)권),경기도 안양시 만안구 안양동 PROJECT 240 TOWER 건물104.65㎡,10000.0,경기도 안양시 만안구 안양동,PROJECT 240 TOWER 건물104.65㎡,37.3861273838989,126.915649986285
강민국,본인,건물,아파트(전세(임차)권),서울특별시 영등포구 당산동5가 당산센트럴아이파크 건물59.98㎡,630000.0,서울특별시 영등포구 당산동,5가 당산센트럴아이파크 건물59.98㎡,37.5402584246454,126.902165652703
강민정,차녀,건물,오피스텔(전세(임차)권),세종특별자치시 나성동 세종마루 건물 25.70㎡ (건물25.70㎡ 증가),125000.0,세종특별자치시 나성동,세종마루 건물 25.70㎡ (건물25.70㎡ 증가),36.4890988968745,127.263975556135
강병원,본인,건물,사무실(전세(임차)권),서울특별시 은평구 불광동 메트로타워 건물 99.60㎡,30000.0,서울특별시 은평구 불광동,메트로타워 건물 99.60㎡,37.6176523268171,126.937059476367
강선우,본인,건물,사무실(전세(임차)권),서울특별시 강서구 화곡동 세종빌딩 대지 476.30㎡ 건물229.62㎡,40000.0,서울특별시 강서구 화곡동,세종빌딩 대지 476.30㎡ 건물229.62㎡,37.5362848031695,126.848952280488
강선우,배우자,건물,아파트(전세(임차)권),서울특별시 강서구 화곡동 강서힐스테이트 건물 0.00㎡(건물 59.00㎡ 감소),0.0,서울특별시 강서구 화곡동,강서힐스테이트 건물 0.00㎡(건물 59.00㎡ 감소),37.5362848031695,126.848952280488
강선우,본인,건물,아파트(전세(임차)권),서울특별시 강서구 화곡동 강서힐스테이트 건물 84.99㎡(건물 84.99㎡ 증가),750000.0,서울특별시 강서구 화곡동,강서힐스테이트 건물 84.99㎡(건물 84.99㎡ 증가),37.5362848031695,126.848952280488
강선우,배우자,건물,아파트(전세(임차)권),서울특별시 종로구 내수동 경희궁의아침 3단지 건물124.00㎡ (건물 124.00㎡ 증가),50000.0,서울특별시 종로구 내수동,경희궁의아침 3단지 건물124.00㎡ (건물 124.00㎡ 증가),37.5733081682464,126.971962529742
강선우,배우자,건물,오피스텔(전세(임차)권),서울특별시 종로구 내수동 경희궁의아침 2단지 건물57.80㎡,20000.0,서울특별시 종로구 내수동,경희궁의아침 2단지 건물57.80㎡,37.5733081682464,126.971962529742
강은미,본인,건물,다세대주택(전세(임차)권),서울특별시 영등포구 당산동1가 건물 48.92㎡ (건물48.92㎡ 증가),100000.0,서울특별시 영등포구 당산동,1가 건물 48.92㎡ (건물48.92㎡ 증가),37.5402584246454,126.902165652703
강준현,본인,건물,사무실(전세(임차)권),세종특별자치시 조치원읍 죽림리 건물 178.50㎡,40000.0,세종특별자치시 조치원읍 죽림리,건물 178.50㎡,36.590950521849,127.296143569363
강준현,배우자,건물,아파트(전세(임차)권),세종특별자치시 종촌동 가재마을 5단지 건물 84.94㎡,220000.0,세종특별자치시 종촌동,가재마을 5단지 건물 84.94㎡,36.5044408935952,127.24680177397
강준현,본인,건물,오피스텔(전세(임차)권),서울특별시 영등포구 여의도동 엘지여의도에클라트 건물0.00㎡ (건물 38.01㎡ 감소),0.0,서울특별시 영등포구 여의도동,엘지여의도에클라트 건물0.00㎡ (건물 38.01㎡ 감소),37.5267849150832,126.930167091136
강훈식,본인,건물,상가(전세(임차)권),"충청남도 아산시 배방읍 공수리 삼영프라자 건물7,822.80㎡ 중 172.64㎡",10000.0,충청남도 아산시 배방읍 공수리,"삼영프라자 건물7,822.80㎡ 중 172.64㎡",36.7657537133238,127.055396274224
강훈식,본인,건물,아파트(전세(임차)권),충청남도 아산시 배방읍 장재리 요진와이시티 건물84.00㎡,30000.0,충청남도 아산시 배방읍 장재리,요진와이시티 건물84.00㎡,36.7914673046102,127.100418833748
강훈식,본인,건물,오피스텔(전세(임차)권),서울특별시 마포구 도화동 마포트라팰리스 건물 73.72㎡,20000.0,서울특별시 마포구 도화동,마포트라팰리스 건물 73.72㎡,37.541549712387,126.949873511116
고민정,본인,건물,단독주택(전세(임차)권),서울특별시 광진구 구의동 건물 164.30㎡,30000.0,서울특별시 광진구 구의동,건물 164.30㎡,37.5502741239803,127.093135225891
고민정,본인,건물,아파트(전세(임차)권),서울특별시 광진구 구의동 구의현대2단지아파트 건물84.91㎡,680000.0,서울특별시 광진구 구의동,구의현대2단지아파트 건물84.91㎡,37.5502741239803,127.093135225891
고영인,배우자,건물,사무실(전세(임차)권),경기도 안산시 단원구 선부동 건물 40.00㎡,5000.0,경기도 안산시 단원구 선부동,건물 40.00㎡,37.3341794459411,126.804370669728
고영인,본인,건물,사무실(전세(임차)권),경기도 안산시 단원구 선부동 안산세이브시티 건물137.20㎡,10000.0,경기도 안산시 단원구 선부동,안산세이브시티 건물137.20㎡,37.3341794459411,126.804370669728
고영인,부,건물,아파트(전세(임차)권),서울특별시 동작구 상도동 건영아파트 건물 32.80㎡,8300.0,서울특별시 동작구 상도동,건영아파트 건물 32.80㎡,37.4985163075707,126.939014238644
고영인,장남,건물,오피스텔(전세(임차)권),서울특별시 강남구 역삼동 에벤에셀 건물 0.00㎡ (건물29.95㎡ 감소),0.0,서울특별시 강남구 역삼동,에벤에셀 건물 0.00㎡ (건물29.95㎡ 감소),37.4953666908089,127.03306536185
구자근,장남,건물,다세대주택(전세(임차)권),서울특별시 동작구 흑석동 에버그린I 건물 51.28㎡ 중17.00㎡,10000.0,서울특별시 동작구 흑석동,에버그린I 건물 51.28㎡ 중17.00㎡,37.505775015354,126.966590753167
구자근,본인,건물,다세대주택(전세(임차)권),서울특별시 동작구 흑석동 에버그린I 건물 51.28㎡ 중34.28㎡,20000.0,서울특별시 동작구 흑석동,에버그린I 건물 51.28㎡ 중34.28㎡,37.505775015354,126.966590753167
구자근,배우자,건물,복합건물(주택+상가)(전세(임차)권),경상북도 구미시 봉곡동 건물 0.00㎡ (건물 50.00㎡ 감소),0.0,경상북도 구미시 봉곡동,건물 0.00㎡ (건물 50.00㎡ 감소),36.1579556953578,128.308782210737
구자근,본인,건물,사무실(전세(임차)권),경상북도 구미시 송정동 건물 175.76㎡ (건물 175.76㎡증가),20000.0,경상북도 구미시 송정동,건물 175.76㎡ (건물 175.76㎡증가),36.1184890871925,128.347168955925
구자근,본인,건물,사무실(전세(임차)권),"경상북도 구미시 원평동 대지 0.00㎡ 건물 0.00㎡ (대지2,409.48㎡ 감소, 건물 100.00㎡ 감소)",0.0,경상북도 구미시 원평동,"대지 0.00㎡ 건물 0.00㎡ (대지2,409.48㎡ 감소, 건물 100.00㎡ 감소)",36.1283686839148,128.330120333505
권명호,본인,건물,사무실(전세(임차)권),울산광역시 동구 방어동 흥원빌딩 건물 163.78㎡,20000.0,울산광역시 동구 방어동,흥원빌딩 건물 163.78㎡,35.4862304417203,129.423974129488
권명호,배우자,건물,상가(전세(임차)권),울산광역시 남구 달동 대지 222.90㎡ 중 0.00㎡ 건물264.10㎡ 중 57.00㎡,35000.0,울산광역시 남구 달동,대지 222.90㎡ 중 0.00㎡ 건물264.10㎡ 중 57.00㎡,35.5363579790753,129.316532962709
권명호,본인,건물,오피스텔(전세(임차)권),서울특별시 마포구 공덕동 마포현대하이엘 건물 46.48㎡,10000.0,서울특별시 마포구 공덕동,마포현대하이엘 건물 46.48㎡,37.550174347382,126.960034513244
권영진,본인,건물,아파트(전세(임차)권),서울특별시 서초구 잠원동 신반포22차아파트 건물 0.00㎡(건물 0.00㎡ 감소),0.0,서울특별시 서초구 잠원동,신반포22차아파트 건물 0.00㎡(건물 0.00㎡ 감소),37.5149186880221,127.014102820234
권영진,본인,건물,아파트(전세(임차)권),서울특별시 서초구 잠원동 신반포자이 건물 85.00㎡ (건물19.02㎡ 감소),500000.0,서울특별시 서초구 잠원동,신반포자이 건물 85.00㎡ (건물19.02㎡ 감소),37.5149186880221,127.014102820234
권은희,배우자,건물,아파트(전세(임차)권),서울특별시 마포구 상수동 래미안밤섬리베뉴 1차 건물84.99㎡,400000.0,서울특별시 마포구 상수동,래미안밤섬리베뉴 1차 건물84.99㎡,37.5456269289384,126.924776753718
권칠승,본인,건물,사무실(전세(임차)권),경기도 화성시 병점동 씨네샤르망 건물 137.00㎡,15000.0,경기도 화성시 병점동,씨네샤르망 건물 137.00㎡,37.2069172825447,127.037269392114
권칠승,장녀,건물,오피스텔(전세(임차)권),서울특별시 동대문구 답십리동 메트로팰리스 건물 0.00㎡(건물 25.47㎡ 감소),0.0,서울특별시 동대문구 답십리동,메트로팰리스 건물 0.00㎡(건물 25.47㎡ 감소),37.5690668295007,127.056655839753
권혁기,배우자,건물,아파트(전세(임차)권),서울특별시 용산구 이촌동 한가람아파트 건물 114.96㎡,850000.0,서울특별시 용산구 이촌동,한가람아파트 건물 114.96㎡,37.5141954312251,126.972097769518
기동민,배우자,건물,아파트(전세(임차)권),서울특별시 성북구 길음동 래미안길음센터피스 건물84.66㎡,500000.0,서울특별시 성북구 길음동,래미안길음센터피스 건물84.66㎡,37.6076658267475,127.023343590916
김경만,장남,건물,아파트(전세(임차)권),경기도 광명시 소하동 기아타운 건물 59.50㎡ (건물59.50㎡ 증가),5000.0,경기도 광명시 소하동,기아타운 건물 59.50㎡ (건물59.50㎡ 증가),37.4522110542156,126.885011358569
김경만,배우자,건물,아파트(전세(임차)권),서울특별시 강서구 내발산동 마곡수명산파크6단지아파트건물 84.68㎡,435000.0,서울특별시 강서구 내발산동,마곡수명산파크6단지아파트건물 84.68㎡,37.5543737621718,126.83326640676
김경협,본인,건물,아파트(전세(임차)권),경기도 부천시 원미구 춘의동 우민늘사랑아파트2차 건물422.35㎡,300000.0,경기도 부천시 원미구 춘의동,우민늘사랑아파트2차 건물422.35㎡,37.5026880955635,126.785904754648
김교흥,장남,건물,다세대주택(전세(임차)권),경기도 부천시 역곡동 벧엘원룸 건물 15.00㎡ (건물15.00㎡ 증가),5000.0,경기도 부천시 역곡동,벧엘원룸 건물 15.00㎡ (건물15.00㎡ 증가),37.4892860499492,126.816680853404
김교흥,본인,건물,사무실(전세(임차)권),"인천광역시 서구 가정동 쓰리엠타워 건물 0.00㎡ 중 0.00㎡ (건물 총면적 118.41㎡ 감소, 지분면적 52.89㎡ 감소)",0.0,인천광역시 서구 가정동,"쓰리엠타워 건물 0.00㎡ 중 0.00㎡ (건물 총면적 118.41㎡ 감소, 지분면적 52.89㎡ 감소)",37.5232288067733,126.674522669542
김교흥,본인,건물,사무실(전세(임차)권),인천광역시 서구 가정동 쓰리엠타워 건물 101.10㎡,20000.0,인천광역시 서구 가정동,쓰리엠타워 건물 101.10㎡,37.5232288067733,126.674522669542
김기현,본인,건물,사무실(전세(임차)권),울산광역시 남구 달동 대지 294.80㎡ 중 0.00㎡ 건물599.29㎡ 중 165.75㎡,10000.0,울산광역시 남구 달동,대지 294.80㎡ 중 0.00㎡ 건물599.29㎡ 중 165.75㎡,35.5363579790753,129.316532962709
